 4556 gHCCP     CRP                 gCCP      gH                                      1.95e-14  0.00      0.0
 4557 gHCl      CRP                 gH        gCl                                     7.93e-15  0.00      0.0
 4558 gHCN      CRP                 gCN       gH                                      4.06e-14  0.00      0.0
 4559 gHCNC2    CRP                 gC2H      gCN                                     4.49e-14  0.00      0.0
 4560 gHCO      CRP                 gCO       gH                                      5.47e-15  0.00      0.0
 4561 gHCOOCH3  CRP                 gHCO      gCH2OH                                  1.95e-14  0.00      0.0
 4562 gCH2O2    CRP                 gHCO      gOH                                     3.24e-15  0.00      0.0
 4563 gHCP      CRP                 gCP       gH                                      1.95e-14  0.00      0.0
 4564 gHCSi     CRP                 gCH       gSi                                     1.95e-14  0.00      0.0
 4565 gHNC      CRP                 gCN       gH                                      3.90e-14  0.00      0.0
 4566 gHNC3     CRP                 gC2H      gCN                                     4.49e-14  0.00      0.0
 4567 gHNCO     CRP                 gNH       gCO                                     7.80e-14  0.00      0.0
 4568 gHNSi     CRP                 gSiN      gH                                      1.95e-14  0.00      0.0
 4569 gHPO      CRP                 gPO       gH                                      1.95e-14  0.00      0.0
 4570 gHS       CRP                 gH        gS                                      6.50e-15  0.00      0.0
 4571 gHS2      CRP                 gHS       gS                                      1.95e-14  0.00      0.0
 4572 gMgH      CRP                 gMg       gH                                      6.50e-15  0.00      0.0
 4573 gMgH2     CRP                 gMgH      gH                                      3.90e-14  0.00      0.0
 4574 gN2       CRP                 gN        gN                                      6.50e-17  0.00      0.0
 4575 gN2H2     CRP                 gNH2      gN                                      2.60e-15  0.00      0.0
 4576 gN2O      CRP                 gNO       gN                                      1.95e-14  0.00      0.0
 4577 gNaH      CRP                 gNa       gH                                      6.50e-15  0.00      0.0
 4578 gNaOH     CRP                 gNa       gOH                                     1.95e-14  0.00      0.0
 4579 gNH       CRP                 gN        gH                                      6.50e-15  0.00      0.0
 4580 gNH2      CRP                 gNH       gH                                      1.04e-15  0.00      0.0
 4581 gNH2CHO   CRP                 gNH2      gHCO                                    3.90e-14  0.00      0.0
 4582 gNH2CN    CRP                 gNH2      gCN                                     1.24e-13  0.00      0.0
 4583 gNH2OH    CRP                 gNH2      gOH                                     3.90e-14  0.00      0.0
 4584 gNH3      CRP                 gNH2      gH                                      1.72e-14  0.00      0.0
 4585 gNH3      CRP                 gNH       gH2                                     7.02e-15  0.00      0.0
 4586 gNO       CRP                 gN        gO                                      6.27e-15  0.00      0.0
 4587 gNO2      CRP                 gNO       gO                                      1.95e-14  0.00      0.0
 4588 gNS       CRP                 gN        gS                                      6.50e-15  0.00      0.0
 4589 gO2       CRP                 gO        gO                                      9.75e-15  0.00      0.0
 4590 gO2H      CRP                 gO2       gH                                      9.75e-15  0.00      0.0
 4591 gO2H      CRP                 gO        gOH                                     9.75e-15  0.00      0.0
 4592 gO3       CRP                 gO2       gO                                      1.95e-14  0.00      0.0
 4593 gOCN      CRP                 gCN       gO                                      1.95e-14  0.00      0.0
 4594 gOCS      CRP                 gCO       gS                                      6.96e-14  0.00      0.0
 4595 gOH       CRP                 gO        gH                                      6.63e-15  0.00      0.0
 4596 gPH       CRP                 gP        gH                                      6.50e-15  0.00      0.0
 4597 gPH2      CRP                 gPH       gH                                      1.95e-14  0.00      0.0
 4598 gPN       CRP                 gP        gN                                      6.50e-15  0.00      0.0
 4599 gPO       CRP                 gP        gO                                      6.50e-15  0.00      0.0
 4600 gS2       CRP                 gS        gS                                      6.50e-15  0.00      0.0
 4601 gSiC      CRP                 gSi       gC                                      6.50e-15  0.00      0.0
 4602 gSiC2     CRP                 gSiC      gC                                      1.95e-14  0.00      0.0
 4603 gSiC2H    CRP                 gSiC2     gH                                      1.95e-14  0.00      0.0
 4604 gSiC2H2   CRP                 gSiC2     gH2                                     1.95e-14  0.00      0.0
 4605 gSiC3     CRP                 gSiC2     gC                                      1.95e-14  0.00      0.0
 4606 gSiC3H    CRP                 gSiC3     gH                                      1.95e-14  0.00      0.0
 4607 gSiC4     CRP                 gSiC2     gC2                                     1.95e-14  0.00      0.0
 4608 gSiCH2    CRP                 gSiC      gH2                                     1.95e-14  0.00      0.0
 4609 gSiCH3    CRP                 gSiCH2    gH                                      1.95e-14  0.00      0.0
 4610 gSiH      CRP                 gSi       gH                                      6.50e-15  0.00      0.0
 4611 gSiH2     CRP                 gSiH      gH                                      1.95e-14  0.00      0.0
 4612 gSiH3     CRP                 gSiH2     gH                                      1.95e-14  0.00      0.0
 4613 gSiH4     CRP                 gSiH2     gH2                                     1.95e-14  0.00      0.0
 4614 gSiN      CRP                 gSi       gN                                      6.50e-15  0.00      0.0
 4615 gSiNC     CRP                 gSi       gCN                                     1.95e-14  0.00      0.0
 4616 gSiO      CRP                 gSi       gO                                      6.50e-15  0.00      0.0
 4617 gSiO2     CRP                 gSiO      gO                                      1.95e-14  0.00      0.0
 4618 gSiS      CRP                 gSi       gS                                      6.50e-15  0.00      0.0
 4619 gSO       CRP                 gS        gO                                      6.50e-15  0.00      0.0
 4620 gSO2      CRP                 gSO       gO                                      2.44e-14  0.00      0.0
 4621 gC2H2     CRP                 gC2H      gH                                      9.23e-15  0.00      0.0
 4622 gC2H2     CRP                 gC2       gH        gH                            5.41e-15  0.00      0.0
 4623 gC2H2     CRP                 gCH       gCH                                     2.43e-15  0.00      0.0
 4624 gC2H4     CRP                 gC2H2     gH        gH                            8.06e-15  0.00      0.0
 4625 gC2H4     CRP                 gC2H2     gH2                                     7.32e-16  0.00      0.0
 4626 gC2H4     CRP                 gC2H3     gH                                      1.34e-15  0.00      0.0
 4627 gC2H5OH   CRP                 gC2H5     gOH                                     8.91e-15  0.00      0.0
 4628 gC2H5OH   CRP                 gC2H2O    gH2       gH2                           8.91e-15  0.00      0.0
 4629 gC2H5OH   CRP                 gCH4      gH2CO                                   8.91e-15  0.00      0.0
 4630 gC2H5OH   CRP                 gC2H4O    gH2                                     8.91e-15  0.00      0.0
 4631 gC3H4     CRP                 gC3H2     gH2                                     3.80e-15  0.00      0.0
 4632 gC3H4     CRP                 gC3H3     gH                                      6.51e-14  0.00      0.0
 4633 gC4H2     CRP                 gC4       gH2                                     7.28e-15  0.00      0.0
 4634 gC4H2     CRP                 gC4H      gH                                      7.28e-15  0.00      0.0
 4635 gCH2      CRP                 gC        gH2                                     7.85e-16  0.00      0.0
 4636 gCH2      CRP                 gCH       gH                                      1.64e-15  0.00      0.0
 4637 gCH2      CRP                 gC        gH        gH                            4.08e-15  0.00      0.0
 4638 gC2H2O    CRP                 gC2       gH2O                                    5.29e-15  0.00      0.0
 4639 gC2H2O    CRP                 gCH2      gCO                                     5.29e-15  0.00      0.0
 4640 gC2H2O    CRP                 gC2H2     gO                                      5.29e-15  0.00      0.0
 4641 gCH3      CRP                 gC        gH2       gH                            1.95e-15  0.00      0.0
 4642 gCH3      CRP                 gCH       gH        gH                            1.04e-15  0.00      0.0
 4643 gCH3      CRP                 gCH       gH2                                     9.10e-16  0.00      0.0
 4644 gCH3      CRP                 gCH2      gH                                      2.60e-15  0.00      0.0
 4645 gC2H4O    CRP                 gCH3      gHCO                                    4.85e-15  0.00      0.0
 4646 gC2H4O    CRP                 gC2H2O    gH        gH                            4.85e-15  0.00      0.0
 4647 gC2H4O    CRP                 gC2H2O    gH2                                     4.85e-15  0.00      0.0
 4648 gC2H3N    CRP                 gCH3      gCN                                     6.47e-15  0.00      0.0
 4649 gC2H3N    CRP                 gC2H2N    gH                                      6.47e-15  0.00      0.0
 4650 gC2H3N    CRP                 gC2N      gH2       gH                            6.47e-15  0.00      0.0
 4651 gC2H3N    CRP                 gCH2      gHCN                                    9.71e-15  0.00      0.0
